user_id,cpgn_id,group,email,open,click,purch,chard,sav_blanc,syrah,cab,past_purch,days_since,visits
1058220,1901Email,email_B,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,289,4
1122167,1901Email,ctrl,False,0,0,0.0,0.0,678.61,0.0,0.0,678.61,163,5
1003710,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,72,6
1079666,1901Email,ctrl,False,0,0,0.0,0.0,0.0,25.64,0.0,25.64,122,5
1100384,1901Email,email_A,True,0,0,88.0,0.0,0.0,0.0,0.0,0.0,187,4
1054148,1901Email,ctrl,False,0,0,0.0,0.0,0.0,407.96,0.0,407.96,278,8
1065703,1901Email,email_A,True,1,0,18.41,146.13,0.0,0.0,15.81,161.94,76,6
1097281,1901Email,email_A,True,1,0,0.0,0.0,0.0,24.48,102.39,126.87,103,6
1025215,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,13.13,13.13,371,6
1010272,1901Email,email_A,True,1,0,0.0,112.08,0.0,0.0,0.0,112.08,219,5
1098389,1901Email,email_A,True,1,0,0.0,0.0,0.0,309.69,0.0,309.69,204,7
1067452,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11,2
1017019,1901Email,ctrl,False,0,0,0.0,0.0,0.0,27.27,0.0,27.27,38,7
1120367,1901Email,email_A,True,1,0,34.93,0.0,73.69,0.0,153.53,227.22,8,6
1075864,1901Email,ctrl,False,0,0,0.0,0.0,77.25,0.0,27.67,104.92,67,8
1105405,1901Email,email_A,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,338,5
1001104,1901Email,email_B,True,1,1,68.32,232.99,0.0,0.0,18.48,251.47,13,1
1123920,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
1016784,1901Email,email_B,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48,2
1069078,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,43,5
1049302,1901Email,email_A,True,1,0,0.0,395.07,0.0,0.0,0.0,395.07,186,7
1020544,1901Email,email_B,True,1,0,73.74,0.0,318.96,0.0,0.0,318.96,1,4
1055538,1901Email,email_B,True,0,0,0.0,43.49,0.0,0.0,10.98,54.47,405,5
1023760,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,6,4
1094419,1901Email,ctrl,False,0,0,72.05,29.68,0.0,0.0,0.0,29.68,24,5
1122880,1901Email,ctrl,False,0,0,99.84,0.0,12.95,0.0,93.69,106.64,88,6
1117179,1901Email,email_B,True,0,0,0.0,0.0,0.0,11.71,0.0,11.71,93,5
1040692,1901Email,email_B,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,121,2
1020335,1901Email,email_B,True,1,0,60.56,1248.68,0.0,40.62,72.31,1361.61,381,13
1006371,1901Email,ctrl,False,0,0,0.0,0.0,0.0,0.0,0.0,0.0,58,4
1055463,1901Email,email_A,True,1,0,0.0,0.0,194.9,48.46,0.0,243.36,107,4
1067465,1901Email,email_A,True,0,0,0.0,0.0,0.0,0.0,0.0,0.0,115,5
